Uraian,Kuantitas,Satuan,Harga,Jumlah,Kategori,Nama Nota,Kunci
Plastik OPP 13X13,31,pcs,5000,155000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
Bento,2,pak,55000,110000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
Wrapping B,2,pcs,195000,390000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
Tali Merah,1,roll,675000,675000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
Tali Merah,3,kg,30000,90000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
Tali biru,3,kg,30000,90000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
Cleo mini,2,botol,27900,55800,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
Sarung tangan karet,20,pasang,67410,1348200,APD,Screenshot 2026-07-22 at 20.03.50,false
Tissue Paseo,3,pcs,46000,138000,Alat Kebersihan,Screenshot 2026-07-22 at 20.03.50,false
Masker Hijab,20,box,25500,510000,APD,Screenshot 2026-07-22 at 20.03.50,false
Es balok,1,pak,28000,28000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
Sunlight 610ml,1,dos,112000,112000,Alat Kebersihan,Screenshot 2026-07-22 at 20.03.50,false
Sunlight 1.5l,1,dos,138000,138000,Alat Kebersihan,Screenshot 2026-07-22 at 20.03.50,false
Sarung tangan plastik,5,box,12000,60000,APD,Screenshot 2026-07-22 at 20.03.50,false
Sarung tangan plastik,10,box,9000,90000,APD,Screenshot 2026-07-22 at 20.03.50,false
Plastik merah isi 5,1,pak,250000,250000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
plastik sampah,1,pack,110000,110000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
baterai panasonic aaa,3,pcs,18000,54000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
balon philips 30 wt,1,pcs,75000,75000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
balon philips 20 wt,1,pcs,85000,85000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
balon philips 45 wt,1,pcs,195000,195000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
doubletip,1,pcs,5000,5000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
sunlight,12,pcs,12417,149000,Alat Kebersihan,Screenshot 2026-07-22 at 20.03.50,false
sunlight,2,dos,175000,350000,Alat Kebersihan,Screenshot 2026-07-22 at 20.03.50,false
amplop panjang,2,pak,28000,56000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
kertas hvs a4,1,rim,65000,65000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
penutup kepala,10,pcs,55000,550000,Alat Kebersihan,Screenshot 2026-07-22 at 20.03.50,false
galon,11,pcs,8000,88000,Alat Kelengkapan,Screenshot 2026-07-22 at 20.03.50,false
